Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad)
1607,-0.613542488262964,-0.705100830218196,0.614498811196809,11347.9759508144,269.863319519553,12.4065720452207,7.13886402093074,-12,-0.20943951023932
1608,-0.618567386860757,-0.708203755569118,0.614192343904653,11355.0655032071,270.700950930016,13.0210708564175,7.13417106644452,-12,-0.20943951023932
1609,-0.623024136876262,-0.707092826109994,0.60041481704543,11362.1414678373,271.610413055484,13.6352632003221,7.12962607975913,-12,-0.20943951023932
1610,-0.627151038782531,-0.701579996236035,0.574419444993207,11369.2026839293,272.595702525505,14.2356780173676,7.12497458823231,-12,-0.20943951023932
1611,-0.631187474814322,-0.691589308828466,0.537548447619863,11376.2478316029,273.659261240657,14.8100974623608,7.11998040563942,-12,-0.20943951023932
1612,-0.635382297610859,-0.677142011602682,0.491201898490227,11383.2755065619,274.802023528296,15.3476459099806,7.11441581961379,-12,-0.20943951023932
1613,-0.639725149844904,-0.659113427518467,0.439418776735458,11390.2842819369,276.023489941101,15.8388478084709,7.10839836670843,-12,-0.20943951023932
1614,-0.643190005061275,-0.640647631273404,0.393313078231281,11397.2732295787,277.321156385389,16.2782665852063,7.10325920208084,-12,-0.20943951023932
1615,-0.645863307697722,-0.621855437847901,0.352090404053609,11404.2435176152,278.689138834056,16.6715796634376,7.09892595351557,-12,-0.20943951023932
1616,-0.647822489221017,-0.602826975004433,0.315068126509442,11411.196298697,280.122172302461,17.0236700674912,7.09533230146461,-12,-0.20943951023932
1617,-0.6491367633501,-0.583635611348907,0.281660001094391,11418.132698131,281.61552536184,17.3387381940006,7.09241773812418,-12,-0.20943951023932
1618,-0.649867959178004,-0.564341030329235,0.251362617826127,11425.0538068504,283.164926364256,17.620398195095,7.09012718242534,-12,-0.20943951023932
1619,-0.650071336882881,-0.544991663785551,0.223743601920237,11431.9606777433,284.766499944426,17.8717608129212,7.08841052859138,-12,-0.20943951023932
1620,-0.649796355110585,-0.525626640236152,0.198431416762712,11438.8543242756,286.416712448559,18.0955044148414,7.08722217634731,-12,-0.20943951023932
1621,-0.649087374613732,-0.506277361421153,0.175106599269799,11445.7357206481,288.112325063983,18.2939358316041,7.08652057143755,-12,-0.20943951023932
1622,-0.647984292374324,-0.486968790827033,0.153494254868327,11452.6058029442,289.850353560585,18.4690424308739,7.08626777250237,-12,-0.20943951023932
1623,-0.646523106245644,-0.467720516505265,0.133357647573096,11459.4654708877,291.628033691578,18.6225366857422,7.08642905232021,-12,-0.20943951023932
1624,-0.644736413474682,-0.448547635027418,0.114492734472184,11466.3155899427,293.442791429237,18.7558943333153,7.0869725364056,-12,-0.20943951023932
1625,-0.642653848204735,-0.429461492164205,0.0967235100235329,11473.156993569,295.292217327349,18.8703870677875,7.08786887892434,-12,-0.20943951023932
1626,-0.640302463800629,-0.410470307624634,0.0798980419670059,11479.9904855091,297.174044404947,18.9671105778111,7.08909097415373,-12,-0.20943951023932
1627,-0.637707065974366,-0.391579705089685,0.0638850962832207,11486.8168420194,299.086129035588,19.0470086197781,7.09061370081021,-12,-0.20943951023932
1628,-0.634890502469239,-0.372793164220155,0.0485712629377986,11493.6368139938,301.026434403911,19.1108937160613,7.09241369618286,-12,-0.20943951023932
1629,-0.631873914647946,-0.35411240788346,0.0338585069154147,11500.4511289442,302.993016157498,19.1594649789991,7.09446915694462,-12,-0.20943951023932
1630,-0.628676955827583,-0.33553773522579,0.0196620802401605,11507.2604928192,304.984009938687,19.1933234859145,7.09675966363173,-12,-0.20943951023932
1631,-0.625317980674824,-0.317068309197459,0.00590874037066926,11514.0655916513,306.997620528954,19.2129855661547,7.09926602600133,-12,-0.20943951023932
1632,-0.62181420945595,-0.298702405564906,-0.0074647713230393,11520.8670930311,309.03211237928,19.2188943065253,7.10197014674231,-12,-0.20943951023932
1633,-0.618181870449581,-0.280437629200351,-0.0205130302004007,11527.6656474098,311.085801334324,19.2114295352023,7.10485490129354,-12,-0.20943951023932
1634,-0.614436323385662,-0.262271102448028,-0.0332830412876506,11534.4618892357,313.157047387432,19.1909165050019,7.10790403179568,-12,-0.20943951023932
1635,-0.61059216637637,-0.244199629564526,-0.0458151925981353,11541.25643793,315.244248328162,19.1576334637142,7.11110205345841,-12,-0.20943951023932
1636,-0.606663328453171,-0.226219840576073,-0.058144072625337,11548.0498987111,317.345834164884,19.1118182711161,7.11443417185692,-12,-0.20943951023932
1637,-0.602663149517025,-0.208328317355056,-0.070299172179067,11554.8428632756,319.460262222709,19.0536741984908,7.11788620988018,-12,-0.20943951023932
1638,-0.598604449242286,-0.190521704267184,-0.0823054876898355,11561.6359103418,321.58601283199,18.9833750263117,7.12144454323664,-12,-0.20943951023932
1639,-0.594499586245285,-0.172796805361105,-0.0941840405452544,11568.4296060673,323.721585535367,18.9010695386218,7.12509604358375,-12,-0.20943951023932
1640,-0.590360508631932,-0.15515066975003,-0.105952324868674,11575.2245043457,325.86549575215,18.8068854980766,7.12882802848702,-12,-0.20943951023932
1641,-0.586198796871103,-0.137580666559285,-0.117624694338696,11582.0211469908,328.016271848037,18.7009331732079,7.13262821753374,-12,-0.20943951023932
1642,-0.582025699798622,-0.120084550576506,-0.129212697123249,11588.8200638163,330.172452566025,18.5833084788692,7.13648469402979,-12,-0.20943951023932
1643,-0.577852164437099,-0.102660519536216,-0.140725366716664,11595.6217726165,332.332584781039,18.454095781746,7.14038587179499,-12,-0.20943951023932
1644,-0.573688860216976,-0.0853072637926887,-0.152169475382996,11602.4267790543,334.495221546543,18.3133704150293,7.14432046664648,-12,-0.20943951023932
1645,-0.569546198101424,-0.0680240089808638,-0.163549755990335,11609.2355764646,336.65892040626,18.1612009396463,7.14827747222183,-12,-0.20943951023932
1646,-0.565434345050107,-0.050810552131531,-0.174869097240807,11616.0486455766,338.822241948294,17.997651183656,7.15224613984458,-12,-0.20943951023932
1647,-0.561363234202416,-0.0336672915920698,-0.186128716635639,11622.8664541626,340.983748582483,17.8227820864152,7.15621596217743,-12,-0.20943951023932
1648,-0.557342571118019,-0.0165952510060325,-0.197328314943985,11629.6894566176,343.142003524842,17.6366533697795,7.1601766604414,-12,-0.20943951023932
1649,-0.553381836380061,0.00040390247733051,-0.208466215451234,11636.5180934766,345.295569975473,17.4393250548355,7.16411817500565,-12,-0.20943951023932
1650,-0.54949028484281,0.0173278456597118,-0.219539490833036,11643.3527908738,347.443010478487,17.2308588393843,7.16803065917153,-12,-0.20943951023932
1651,-0.545676941789938,0.0341735923654647,-0.230544080123223,11650.1939599507,349.58288645423,17.0113193485513,7.17190447598744,-12,-0.20943951023932
1652,-0.541950596260831,0.0509374921160907,-0.241474897907189,11657.0419962177,351.713757895581,16.7807752684281,7.17573019793837,-12,-0.20943951023932
1653,-0.538319791799446,0.067615234420253,-0.252325937568775,11663.897278875,353.834183221239,16.5393003705209,7.17949860935597,-12,-0.20943951023932
1654,-0.534792814882335,0.084201858703679,-0.263090370141467,11670.7601701004,355.942719279824,16.2869744329521,7.18320071139253,-12,-0.20943951023932
1655,-0.531377681288535,0.100691769901745,-0.273760640058295,11677.6310143076,358.037921499277,16.0238840628106,7.18682772939556,-12,-0.20943951023932
1656,-0.528082120683298,0.117078759723181,-0.284328558855031,11684.5101373837,360.118344176489,15.7501234227523,7.19037112250939,-12,-0.20943951023932
1657,-0.524913559699066,0.133356033566728,-0.294785397654904,11691.3978459109,362.182540902339,15.4657948638973,7.19382259531673,-12,-0.20943951023932
1658,-0.521879103809776,0.149516243034407,-0.305121979048201,11698.2944263803,364.229065117382,15.1710094662424,7.19717411131762,-12,-0.20943951023932
1659,-0.518985518307607,0.165551523936345,-0.315328768775487,11705.2001444033,366.256470793316,14.8658874871942,7.20041790802539,-12,-0.20943951023932
1660,-0.516239208703607,0.18145353962401,-0.325395967428677,11712.11524393,368.263313235137,14.5505587184187,7.20354651344078,-12,-0.20943951023932
1661,-0.513646200884436,0.197213529422784,-0.335313602200214,11719.0399464792,370.248149998477,14.22516275099,7.20655276364637,-12,-0.20943951023932
1662,-0.511212121365715,0.212822361862831,-0.34507161853843,11725.9744503894,372.209541916149,13.8898491487898,7.20942982124525,-12,-0.20943951023932
1663,-0.508942177987416,0.228270592331252,-0.354659971408489,11732.9189300974,374.146054227334,13.5447775302514,7.21217119435071,-12,-0.20943951023932
1664,-0.506841141397523,0.243548524690907,-0.364068715715158,11739.8735354521,376.05625780218,13.1901175588429,7.21477075581903,-12,-0.20943951023932
1665,-0.504913327666221,0.258646276334449,-0.373288095318576,11746.8383910698,377.938730453875,12.8260488431277,7.21722276240581,-12,-0.20943951023932
1666,-0.503162582363542,0.273553846068713,-0.382308629969427,11753.8135957397,379.792058329521,12.4527607478092,7.21952187351825,-12,-0.20943951023932
1667,-0.501592266418419,0.288261184157262,-0.391121199407926,11760.7992218856,381.614837370402,12.0704521178397,7.22166316923285,-12,-0.20943951023932
1668,-0.500205244056215,0.302758263790208,-0.399717123813829,11767.7953150895,383.405674831491,11.6793309184318,7.22364216724963,-12,-0.20943951023932
1669,-0.499003873085036,0.317035153202762,-0.408088239763815,11774.8018936845,385.163190849387,11.279613794618,7.22545483846191,-12,-0.20943951023932
1670,-0.497989997768788,0.331082087629582,-0.416226970849163,11781.8189484212,386.886020047271,10.8715255548542,7.22709762083408,-12,-0.20943951023932
1671,-0.497164944487334,0.34488954026254,-0.424126392130822,11788.8464422134,388.572813164915,10.455298584005,7.22856743129976,-12,-0.20943951023932
1672,-0.496529520341999,0.358448291376477,-0.431780287660264,11795.8843099663,390.222238701419,10.0311721918742,7.22986167541835,-12,-0.20943951023932
1673,-0.496084014818804,0.371749494801567,-0.439183200371466,11802.9324584914,391.832984558043,9.59939190421391,7.23097825455973,-12,-0.20943951023932
1674,-0.495828204573255,0.384784740952332,-0.446330473749699,11809.9907665089,393.403759668399,9.16020870384245,7.23191557042336,-12,-0.20943951023932
1675,-0.49576136135032,0.397546115671788,-0.453218284803382,11817.0590847418,394.933295603275,8.71387823009275,7.23267252673944,-12,-0.20943951023932
1676,-0.495882263002653,0.410026254213576,-0.459843668002248,11824.1372360993,396.420348137593,8.26065994528937,7.23324852804458,-12,-0.20943951023932
1677,-0.496189207520405,0.422218389763849,-0.466204529994036,11831.2250159511,397.863698767326,7.80081627728712,7.23364347547189,-12,-0.20943951023932
1678,-0.496680029938301,0.434116395995878,-0.472299655067973,11838.322192491,399.262156164793,7.33461174729308,7.23385775954396,-12,-0.20943951023932
